Character,Meaning
鳴,"to cry (of birds, animals and insects), to make a sound, to voice (one's gratitude, grievance etc)"
翊,"assist, ready to fly, respect"
月,"moon, month, monthly, CL:個|个[ge4],輪|轮[lun2]"
閎,"surname Hong; big, gate"
村,"village, (dialect) to scold, rustic; boorish; variant of 村[cun1]"
茗,"Thea sinensis, young leaves of tea"
瀚,"ocean, vastness"
純,"pure, simple, unmixed, genuine"
碧,"green jade, bluish green, blue, jade"
昕,dawn
城,"city walls, city, town, CL:座[zuo4],道[dao4],個|个[ge4]"
添,to add; to increase; to replenish
曜,"bright, glorious, one of the seven planets of premodern astronomy"
加,"Canada (abbr. for 加拿大[Jia1 na2 da4]), surname Jia; to add, (math.) plus, to increase; to augment, (used before a disyllabic verb, often after an adverb like 不[bu4], 大[da4], 稍[shao1] etc, to indicate that the action applies to sth previously mentioned, as in 稍加改良[shao1 jia1 gai3 liang2] ""make some minor improvements to (it)"")"
樹,"tree, CL:棵[ke1], to cultivate, to set up"
諺,proverb
鈴,"(small) bell, CL:隻|只[zhi1]"
羽,"feather, 5th note in pentatonic scale"
祺,"(literary) good luck; good fortune, (used in formal letter-ending phrases and in personal names)"
亨,"prosperous, henry (unit of inductance)"
棠,cherry-apple
少,"few, less, to lack, to be missing, to stop (doing sth), seldom; young"
捷,"variant of 捷[jie2], quick, nimble; Czech, Czech Republic, abbr. for 捷克[Jie2 ke4]; victory, triumph, quick, nimble, prompt"
品,"(bound form) article; commodity; product; goods, (bound form) grade; rank, kind; type; variety, character; disposition; nature; temperament, to taste sth; to sample, to criticize; to comment; to judge; to size up, fret (on a guitar or lute)"
幸,"trusted, intimate, (of the emperor) to visit, variant of 幸[xing4]; surname Xing; fortunate, lucky"
濤,"big wave, Taiwan pr. [tao2]"
禮,"surname Li, abbr. for 禮記|礼记[Li3 ji4], Classic of Rites; gift, rite, ceremony, CL:份[fen4], propriety, etiquette, courtesy"
為,"as (in the capacity of), to take sth as, to act as, to serve as, to behave as, to become, to be, to do, by (in the passive voice); because of, for, to"
晟,"surname Cheng; brightness of sun, splendor, also pr. [cheng2]"
芃,luxuriant growth
亞,"Asia, Asian, Taiwan pr. [Ya3]; second, next to, inferior, sub-, Taiwan pr. [ya3]"
升,"to ascend; to rise, to promote; to elevate, liter, unit of dry measure for grain (= one liter or one-tenth dou 斗[dou3]); to ascend; to rise (variant of 升[sheng1]), to promote; to elevate (variant of 升[sheng1])"
楷,"Chinese pistachio tree (Pistacia chinensis); model, pattern, regular script (calligraphic style)"
羣,variant of 群[qun2]
雪,"surname Xue; snow, CL:場|场[chang2], (literary) to wipe away (a humiliation etc)"
暐,the bright shining of the sun
晨,"morning, dawn, daybreak"
汝,thou
晏,"surname Yan; late, quiet"
航,"boat, ship, craft, to navigate, to sail, to fly"
浚,"to dredge (a river); used in 浚縣|浚县[Xun4 Xian4], a county in Henan; variant of 浚[jun4]"
霞,rose-tinted sky or clouds at sunrise or sunset
琮,"surname Cong; jade tube with round hole and rectangular sides, used ceremonially in ancient times"
唐,"Tang dynasty (618–907), surname Tang; to exaggerate, empty, in vain, old variant of 螗[tang2]"
照,"variant of 照[zhao4], to shine, to illuminate; according to, in accordance with, to shine, to illuminate, to reflect, to look at (one's reflection), to take (a photo), photo, as requested, as before"
肇,"at first, devise, originate; the start, the origin"
羿,"surname Yi, name of a legendary archer (also called 后羿[Hou4 Yi4])"
小,"small, tiny, few, young"
汶,"Wen River in northwest Sichuan (same as 汶川), classical name of river in Shandong, used to refer to Qi 齊國|齐国"
洋,"ocean, vast, foreign, silver dollar or coin"
翠,"bluish-green, green jade"
評,"to discuss, to comment, to criticize, to judge, to choose (by public appraisal)"
蕙,Coumarouna odorata
鐘,"a (large) bell (CL:架[jia4]), clock (CL:座[zuo4]), amount of time; o'clock (CL:點|点[dian3],分[fen1],秒[miao3]) (as in 三點鐘|三点钟[san1 dian3 zhong1] ""three o'clock"" or ""three hours"" or 五分鐘|五分钟[wu3 fen1 zhong1] ""five minutes"" etc)"
寬,"surname Kuan; wide, broad, loose, relaxed, lenient"
財,"money, wealth, riches, property, valuables"
逢,"to meet by chance, to come across, (of a calendar event) to come along, (of an event) to fall on (a particular day), to fawn upon"
梓,"Chinese catalpa (Catalpa ovata), a tree that serves as a symbol of one's hometown and whose wood is used to make various items, (bound form) printing blocks"
煜,"brilliant, glorious"
旺,"prosperous, flourishing, (of flowers) blooming, (of fire) roaring"
意,"Italy; Italian (abbr. for 意大利[Yi4 da4 li4]); idea, meaning, thought, to think, wish, desire, intention, to expect, to anticipate"
愷,"joyful, kind"
千,thousand; used in 鞦韆|秋千[qiu1 qian1]
熙,"variant of 熙[xi1]; (used in names), (bound form) (literary) bright, prosperous, splendid, genial"
懷,"surname Huai; bosom, heart, mind, to think of, to harbor in one's mind, to conceive (a child)"
顯,"to make visible, to reveal, prominent, conspicuous, (prefix) phanero-"
乃,"to be, thus, so, therefore, then, only, thereupon; variant of 乃[nai3]"
伶,"(old) actor; actress, (meaningless bound form)"
利,"surname Li; sharp, favorable, advantage, benefit, profit, interest, to do good to, to benefit"
以,"old variant of 以[yi3]; abbr. for Israel 以色列[Yi3 se4 lie4]; to use, by means of, according to, in order to, because of, at (a certain date or place)"
筑,"short name for Guiyang 貴陽|贵阳[Gui4 yang2]; five-string lute, Taiwan pr. [zhu2]; to build, to construct, to ram, to hit, Taiwan pr. [zhu2]"
亦,also
妙,"clever, wonderful; variant of 妙[miao4]"
亭,"pavilion, booth, kiosk, erect"
康,"surname Kang; healthy, peaceful, abundant"
季,"surname Ji; season, the last month of a season, fourth or youngest amongst brothers, classifier for seasonal crop yields"
孝,"filial piety or obedience, mourning apparel"
芊,"green, luxuriant growth"
力,"surname Li; power, force, strength, ability, strenuously"
吟,"to chant; to recite, verse; song (often used in titles of classical poems), (literary) to lament; to groan, (bound form) (in poetry) the cry of certain animals and insects, (music) rapid vibrato (technique for playing the guqin 古琴[gu3 qin2]) (cf. 猱[nao2], wide vibrato); old variant of 吟[yin2]"
喬,surname Qiao; tall
伸,"to stretch, to extend"
俞,"surname Yu; variant of 腧[shu4]; yes (used by Emperor or ruler), OK, to accede, to assent"
延,"surname Yan; to prolong, to extend, to delay"
谷,"grain, corn; surname Gu; valley"
臻,"to arrive, to reach (esp. perfection), utmost, (used in commercials)"
璟,luster of gem
鎧,armor
潤,"moist; glossy; sleek, to moisten; to lubricate, to embellish; to enhance, profit; remuneration, (neologism c. 2021) (slang) (loanword from ""run"") to emigrate (in order to flee adverse conditions)"
萬,"surname Wan; ten thousand, a great number"
雨,"rain, CL:陣|阵[zhen4],場|场[chang2]; (literary) to rain, (of rain, snow etc) to fall, to precipitate, to wet"
上,"used in 上聲|上声[shang3 sheng1]; (bound form) up; upper; above; previous, first (of multiple parts), to climb; to get onto; to go up, to attend (class or university), (directional complement) up, (noun suffix) on; above"
紀,"surname Ji, also pr. [Ji4]; order, discipline, age, era, period, to chronicle"
姿,"beauty, disposition, looks, appearance"
泉,"spring (small stream), mouth of a spring, coin (archaic)"
頤,"(literary) chin; jaw, (literary) to foster; to nurture; to protect"
定,"to fix; to set; to make definite, to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc), to congeal; to coagulate, (literary) definitely"
筱,"dwarf bamboo, thin bamboo"
屏,"used in 屏營|屏营[bing1 ying2]; to get rid of, to put aside, to reject, to keep control, to hold (one's breath); (standing) screen"
姵,(used in female names)
桓,"surname Huan; Chinese soapberry (Sapindus mukurossi), big, pillar (old)"
嵐,(bound form) mountain mist
淯,"name of river, old name of Baihe 白河 in Henan, same as 育水"
善,"good (virtuous), benevolent, well-disposed, good at sth, to improve or perfect"
方,"surname Fang; square, power or involution (math.), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter"
聲,"sound, voice, tone, noise, reputation, classifier for sounds"
玟,jade-like stone; veins in jade
玫,"(fine jade), used in 玫瑰[mei2 gui1]"
年,"surname Nian; year, CL:個|个[ge4]; grain, harvest (old), variant of 年[nian2]"
芸,"Japanese variant of 藝|艺[yi4]; common rue (Ruta graveolens), (used in old compounds relating to books because in former times rue was used to protect books from insect damage); used in 蕓薹|芸薹[yun2 tai2]"
先,"beforehand; first; earlier, at first; originally, for the time being; for now, (prefix) my late (in referring to deceased relatives older than oneself)"
權,"surname Quan; authority, power, right, (literary) to weigh, expedient, temporary"
州,"prefecture, (old) province, (old) administrative division, state (e.g. of US), oblast (Russia), canton (Switzerland)"
洲,"continent, island in a river"
衡,"to weigh, weight, measure"
獻,"to offer, to present, to dedicate, to donate, to show, to put on display, worthy person (old)"
樂,"surname Le; surname Yue; used in place names; happy, cheerful, to laugh; music"
俐,used in 伶俐[ling2 li4]
衍,"to spread out, to develop, to overflow, to amplify, superfluous"
洪,"surname Hong; flood, big, great"
又,"(once) again, also, both... and..., and yet, (used for emphasis) anyway"
予,"(archaic) I, me; (literary) to give"
卉,plants
鎮,"to press down, to calm, to subdue, to suppress, to guard, garrison, small town, to cool or chill (food or drinks)"
通,"to go through, to know well, (suffix) expert, to connect, to communicate, open, to clear, classifier for letters, telegrams, phone calls etc; classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)"
聯,"(bound form) to ally oneself with; to unite; to combine; to join, (bound form) (poetry) antithetical couplet"
煥,(bound form) shining; glowing; lustrous
友,friend
紳,member of gentry
香,"fragrant, sweet smelling, aromatic, savory or appetizing, (to eat) with relish, (of sleep) sound, perfume or spice, joss or incense stick, CL:根[gen1]"
筠,skin of bamboo
泳,"swimming, to swim"
湘,"abbr. for Hunan 湖南 province in south central China, abbr. for Xiangjiang river in Hunan province"
連,"surname Lian; to link, to join, to connect, continuously, in succession, including, (used with 也[ye3], 都[dou1] etc) even, company (military)"
勛,variant of 勳|勋[xun1]
璧,jade annulus
本,"(bound form) root; stem, (bound form) origin; source, (bound form) one's own; this, (bound form) this; the current (year etc), (bound form) original, (bound form) inherent, originally; initially, capital; principal, classifier for books, periodicals, files etc"
介,"to introduce, to lie between, between, shell, armor"
道,"road; path (CL:條|条[tiao2],股[gu3]), (bound form) way; reason; principle, (bound form) a skill; an art; a specialization, (Daoism) the Way; the Dao, to say (introducing a direct quotation, as in a novel), (bound form) to express; to extend (polite words), classifier for long thin things (rivers, cracks, shadows etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process, (old) circuit (administrative division)"
斯,"Slovakia, Slovak, abbr. for 斯洛伐克[Si1 luo4 fa2 ke4]; (phonetic), this"
瑾,brilliancy (of gems)
云,"(classical) to say; surname Yun, abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3]; cloud, CL:朵[duo3]"
伊,"surname Yi, abbr. for 伊拉克[Yi1 la1 ke4], Iraq, abbr. for 伊朗[Yi1 lang3], Iran; (old) third person singular pronoun (""he"" or ""she""), second person singular pronoun (""you""), (May 4th period) third person singular feminine pronoun (""she""), (Classical Chinese) introductory particle with no specific meaning, (preceding a noun) that"
侑,(literary) to urge sb (to eat or drink)
苡,"used in 芣苡[fu2 yi3], see 薏苡[yi4 yi3]"
璿,variant of 璇[xuan2]
田,"surname Tian; field, farm, CL:片[pian4]"
琇,(jade)
自,"(bound form) self; oneself, from; since, naturally; as a matter of course"
霜,"frost, white powder or cream spread over a surface, frosting, (skin) cream"
可,"(prefix) can; may; able to; -able, to approve; to permit, to suit, (particle used for emphasis) certainly; very, but; however; used in 可汗[ke4 han2]"
烈,"ardent, intense, fierce, stern, upright, to give one's life for a noble cause, exploits, achievements"
澔,"grand, vast (of water)"
耿,"surname Geng; (literary) bright; brilliant, honest; upright"
穗,"abbr. for Guangzhou 廣州|广州[Guang3 zhou1]; ear of grain, fringe, tassel"
釗,"to encourage, to cut, to strain"
葳,luxuriant
菱,(bound form) water caltrop (Trapa species); variant of 菱[ling2]
允,"just, fair, to permit, to allow"
薇,"Osmunda regalis, a species of fern, Taiwan pr. [wei2]"
甄,"surname Zhen; to distinguish, to evaluate"
榕,"Rong, another name for Fuzhou 福州[Fu2 zhou1]; Chinese banyan (Ficus microcarpa)"
韻,"the final (of a syllable) (Chinese phonology), rhyme, appeal, charm, (literary) pleasant sound"
灝,vast (of water)
婕,used in 婕妤[jie2 yu2]
妮,"girl, phonetic ""ni"" (in female names), Taiwan pr. [ni2]"
葦,"reed, rush, Phragmites communis"
唯,"only, alone, -ism (in Chinese, a prefix, often combined with a suffix such as 主義|主义[zhu3 yi4] or 論|论[lun4], e.g. 唯理論|唯理论[wei2 li3 lun4], rationalism); yes"
期,"variant of 期[qi1], period, cycle; a period of time, phase, stage, classifier for issues of a periodical, courses of study, time, term, period, to hope, Taiwan pr. [qi2]"
廸,variant of 迪[di2]
懋,"to be hardworking, luxuriant, splendid"
郎,"surname Lang; (arch.) minister, official, noun prefix denoting function or status, a youth"
能,"surname Neng; can, to be able to, might possibly, ability, (physics) energy"
見,"to see, to meet, to appear (to be sth), to interview, opinion, view; to appear, also written 現|现[xian4]"
蓮,lotus
芝,Zoysia pungens
運,"to move, to transport, to use, to apply, fortune, luck, fate"
希,"to hope, to admire, variant of 稀[xi1]"
勲,variant of 勳|勋[xun1]
念,"variant of 念[nian4], to read aloud; to read, to study (a subject), to attend (a school), to read aloud, to give (sb) a tongue-lashing (CL:頓|顿[dun4]), to miss (sb), idea, remembrance, twenty (banker's anti-fraud numeral corresponding to 廿[nian4])"
詮,"to explain, to comment, to annotate"
焜,brilliant
彤,surname Tong; red
飛,to fly
百,"surname Bai; hundred, numerous, all kinds of"
紫,"purple, violet"
劍,"double-edged sword, CL:口[kou3],把[ba3], classifier for blows of a sword"
琴,"guqin 古琴[gu3 qin2] (a type of zither), musical instrument in general; variant of 琴[qin2], guqin or zither"
才,"ability; talent, sb of a certain type, a capable individual, then and only then, just now, (before an expression of quantity) only; (variant of 才[cai2]) just now, (variant of 才[cai2]) (before an expression of quantity) only"
炎,"flame, inflammation, -itis"
禹,"Yu the Great (c. 21st century BC), mythical leader who tamed the floods, surname Yu"
晴,"clear, fine (weather)"
典,"canon, law, standard work of scholarship, literary quotation or allusion, ceremony, to be in charge of, to mortgage or pawn"
馥,"fragrance, scent, aroma"
昂,"to lift, to raise, to raise one's head, high, high spirits, soaring, expensive"
寰,"large domain, extensive region"
同,"like, same, similar, together, alike, with; used in 胡同[hu2 tong4]; used in 衚衕|胡同[hu2 tong4]"
勁,"strength, energy, enthusiasm, spirit, mood, expression, interest, CL:把[ba3], Taiwan pr. [jing4]; stalwart, sturdy, strong, powerful"
瑀,(chalcedony)
嬌,"lovable, pampered, tender, delicate, frail"
丰,"luxuriant, buxom, variant of 豐|丰[feng1], variant of 風|风[feng1], appearance, charm; surname Feng; abundant, plentiful, fertile, plump, great"
翎,"tail feathers, plume"
陞,"to ascend; to rise (variant of 升[sheng1]), to promote; to elevate (variant of 升[sheng1])"
琨,(jade)
喜,"to be fond of, to like, to enjoy, to be happy, to feel pleased, happiness, delight, glad"
迪,to enlighten
紋,"line, trace, mark, pattern, grain (of wood etc)"
軍,"(bound form) army, military"
貽,"to present, to bequeath"
炫,"to dazzle, to boast, to show off, (slang) cool, awesome"
玄,"black, mysterious"
泊,"to moor (a boat), to park (a vehicle), (literary) calm; quiet; peaceful; lake, Taiwan pr. [bo2]"
廣,"surname Guang; wide, numerous, to spread"
茵,mattress
棟,"classifier for houses or buildings, ridgepole (old)"
凌,"surname Ling; to approach, to rise high, thick ice, to insult or maltreat"
枝,"branch, classifier for sticks, rods, pencils etc"
卓,surname Zhuo; outstanding
水,"surname Shui; water, (after a name) ... River, to swim (used mostly in 會水|会水[hui4 shui3] and 水性[shui3 xing4]), (coll.) lacking in substance; shoddy, (bound form) additional cost; extra income, classifier for washings of a garment"
則,"(literary) (conjunction used to express contrast with a previous clause) but; then, (bound form) standard; norm, (bound form) principle, (literary) to imitate; to follow, classifier for written items"
科,"branch of study, administrative section, division, field, branch, stage directions, family (taxonomy), rules, laws, to mete out (punishment), to levy (taxes etc), to fine sb, CL:個|个[ge4]"
映,"to reflect (light), to shine, to project (an image onto a screen etc); old variant of 映[ying4]"
尹,"surname Yin; (literary) to administer; to govern, (bound form) governor; prefect; magistrate (official title in imperial times)"
崧,variant of 嵩[song1]
蔚,"surname Yu, place name; Artemisia japonica, luxuriant, resplendent, impressive"
賜,"(bound form) to confer; to bestow; to grant, (literary) gift; favor, Taiwan pr. [si4]"
在,"to exist; to be alive, (of sb or sth) to be (located) at, (used before a verb to indicate an action in progress)"
佐,"to assist, assistant, aide, to accompany"
材,"material, timber, ability, aptitude, a capable individual, coffin (old)"
騏,(literary) black horse
存,"to exist, to deposit, to store, to keep, to survive"
嫻,"elegant, refined, to be skilled at"
祿,"good fortune, official salary"
舒,"surname Shu; to stretch, to unfold, to relax, leisurely"
增,(bound form) to increase; to augment; to add to
震,"to shake, to vibrate, to jolt, to quake, excited, shocked, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder, ☳"
劭,surname Shao; stimulate to effort
來,"to come, (used as a substitute for a more specific verb), hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5]), ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2]), for the past (amount of time), (prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4]), (between two verbs) in order to, (after a round number) approximately, (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])"
貿,"commerce, trade"
稚,"infantile, young; old variant of 稚[zhi4]; variant of 稚[zhi4]"
鶴,crane
琬,ensign of royalty
時,"surname Shi; o'clock, time, when, hour, season, period"
綾,"damask, thin silk"
輔,"to assist, to complement, auxiliary"
保,"Bulgaria (abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]); to defend; to protect; to keep, to guarantee; to ensure, (old) civil administration unit in the baojia 保甲[bao3 jia3] system"
瀅,"clear, limpid (of water)"
柱,"pillar, CL:根[gen1]"
倍,"(two, three etc) -fold, times (multiplier), double, to increase or multiply"
渝,"short name for Chongqing 重慶|重庆[Chong2 qing4], old name of Jialing River 嘉陵江[Jia1 ling2 Jiang1] in Sichuan"
專,"for a particular person, occasion, purpose, focused on one thing, special, expert, particular (to sth), concentrated, specialized"
錡,"three legged cauldron (old), woodworking chisel (old)"
台,"Taiwan (abbr.), surname Tai; used in place names; (classical) you (in letters), variant of 臺|台[tai2]; desk; table; counter; Taiwan (abbr.); platform, stage, terrace, stand, support, station, broadcasting station, classifier for vehicles or machines; typhoon"
紅,"surname Hong; used in 女紅|女红[nu : 3 gong1]; red, popular, revolutionary, bonus"
晃,"variant of 晃[huang3]; to dazzle, to flash past; to sway, to shake, to wander about"
諾,"to consent, to promise, (literary) yes!"
岱,"Mt Tai in Shandong, same as 泰山"
瑢,used in 瑽瑢|𪻐瑢[cong1 rong2]
寅,"3rd earthly branch: 3-5 a.m., 1st solar month (4th February-5th March), year of the Tiger, ancient Chinese compass point: 60°"
樟,"camphor, Cinnamonum camphara"
驊,chestnut horse
篤,"(bound form) sincere; genuine, (bound form) (of an illness) serious"
杏,"apricot, (bound form) almond"
彩,"(bright) color, variety, applause, applaud, lottery prize"
采,"to pick, to pluck, to collect, to select, to choose, to gather; color, complexion, looks, variant of 彩[cai3], variant of 採|采[cai3]; used in 采邑[cai4 yi4] and 采地[cai4 di4]"
亘,"extending all the way across, running all the way through"
娜,"(phonetic na), used esp. in female names such as Anna 安娜[An1 na4] or Diana 黛安娜[Dai4 an1 na4]; elegant, graceful"
艾,"surname Ai; Chinese mugwort or wormwood, moxa, to stop or cut short, phonetic ""ai"" or ""i"", abbr. for 艾滋病[ai4 zi1 bing4], AIDS; variant of 刈[yi4], variant of 乂[yi4]"
高,"surname Gao; high, tall, above average, loud, your (honorific)"
微,"surname Wei, ancient Chinese state near present-day Chongqing, Taiwan pr. [Wei2]; tiny, miniature, slightly, profound, abtruse, to decline, one millionth part of, micro-, Taiwan pr. [wei2]"
皇,"surname Huang; emperor, old variant of 惶[huang2]"
理,"texture, grain (of wood), inner essence, intrinsic order, reason, logic, truth, science, natural science (esp. physics), to manage, to pay attention to, to run (affairs), to handle, to put in order, to tidy up"
詔,"(literary) to admonish, (bound form) imperial edict"
根,"root, basis, classifier for long slender objects, e.g. cigarettes, guitar strings, CL:條|条[tiao2], radical (chemistry)"
丹,"red, pellet, powder, cinnabar"
暄,genial and warm
乾,"old variant of 乾[qian2]; surname Qian; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven, male principle, ☰, ancient Chinese compass point: 315° (northwest); surname Gan; dry, dried food, empty; hollow, taken in to nominal kinship; adoptive; foster, futile; in vain, (dialect) rude; blunt, (dialect) to cold-shoulder; variant of 乾[qian2]"
京,"surname Jing, Jing ethnic minority, abbr. for Beijing 北京[Bei3 jing1]; capital city of a country, big, algebraic term for a large number (old), artificial mound (old)"
楨,"(old) privet (genus Ligustrum), (bound form) (old) wooden support placed at the ends of a wall during construction; (fig.) mainstay; pillar; backbone"
楚,"surname Chu, abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together, Chinese kingdom during the Spring and Autumn and Warring States Periods (722–221 BC); distinct, clear, orderly, pain, suffering, deciduous bush used in Chinese medicine (genus Vitex), punishment cane (old)"
鋐,"utensil, implement"
魁,"chief, head, outstanding, exceptional, stalwart"
太,"highest, greatest, too (much), very, extremely"
言,"words, speech, to say, to talk"
錚,"clang of metals, small gong; (dialect) (bound form) shiny; gleaming, Taiwan pr. [zheng1]"
木,"surname Mu; (bound form) tree, (bound form) wood, unresponsive; numb; wooden"
結,"(of a plant) to produce (fruit or seeds), Taiwan pr. [jie2]; knot, sturdy, bond, to tie, to bind, to check out (of a hotel)"
謹,"cautious, careful, solemnly, sincerely (formal)"
沐,"to bathe, to cleanse, to receive, to be given"
銳,acute
合,"100 ml, one-tenth of a peck, measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; to close, to join, to fit, to be equal to, whole, together, round (in battle), conjunction (astronomy), 1st note of pentatonic scale, old variant of 盒[he2]; variant of 合[he2]"
律,surname Lü; law
暘,"rising sun, sunshine"
妍,beautiful
頴,old variant of 穎|颖[ying3]
招,"to recruit, to provoke, to beckon, to incur, to infect, contagious, a move (chess), a maneuver, device, trick, to confess"
樵,"firewood, gather wood"
澂,variant of 澄[cheng2]
格,"used in 格登[ge1 deng1], used in 格格[ge1 ge1]; square, frame, rule, (legal) case, style, character, standard, pattern, (grammar) case, (classical) to obstruct, to hinder, (classical) to arrive, to come, (classical) to investigate, to study exhaustively"
芩,Phragmites japonica
協,"to cooperate, to harmonize, to help, to assist, to join"
釧,"surname Chuan; armlet, bracelet"
榆,elm
滄,"(bound form) (of water, esp. the ocean) deep blue-green, (literary) cold"
耘,to weed
璽,ruler's seal
初,"at first, (at the) beginning, first, junior, basic"
頡,"surname Xie; used in 倉頡|仓颉[Cang1 Jie2]; (of a bird) to fly upwards, (of the neck) stiff"
葶,Draba nemerosa bebe carpa
厚,"thick, deep or profound, kind, generous, rich or strong in flavor, to favor, to stress"
薰,"fragrance, warm, to educate, variant of 熏[xun1], to smoke, to fumigate; sweet-smelling grass, Coumarouna odorata, tonka beans, coumarin"
喨,"clear, resounding"
媛,"used in 嬋媛|婵媛[chan2 yuan2]; (bound form) beautiful woman (in practice, often pronounced [yuan2]), Taiwan pr. [yuan2]"
丁,"surname Ding; male adult, the 4th of the 10 Heavenly Stems 天干[tian1 gan1], fourth (used like ""4"" or ""D""), small cube of meat or vegetable, (literary) to encounter, (archaic) ancient Chinese compass point: 195°, (chemistry) butyl; used in 丁丁[zheng1 zheng1]"
楓,maple (genus Acer)
昊,"surname Hao; vast and limitless, the vast sky"
熹,"bright, warm"
菲,"abbr. for the Philippines 菲律賓|菲律宾[Fei1 lu:4 bin1]; luxuriant (plant growth), rich with fragrance, phenanthrene C14H10; poor, humble, unworthy, radish (old)"
助,"to help, to assist"
絢,"adorned, swift, gorgeous, brilliant, variegated"
衛,"surname Wei, vassal state during the Zhou Dynasty (1066–221 BC), located in present-day Henan and Hebei Provinces; to guard, to protect, to defend, abbr. for 衛生|卫生, hygiene, health, abbr. for 衛生間|卫生间, toilet"
江,"surname Jiang, (bound form) Yangtze River, (bound form) Jiangsu Province (abbr. for 江蘇|江苏[Jiang1 su1]); river, CL:條|条[tiao2],道[dao4]"
賀,surname He; to congratulate
燦,"glorious, bright, brilliant, lustrous, resplendent"
應,"surname Ying, Taiwan pr. [Ying4]; to agree (to do sth), should, ought to, must, (legal) shall; to answer, to respond, to comply with, to deal or cope with"
杉,"China fir, Cunninghamia lanceolata, also pr. [sha1]"
燁,"blaze of fire, glorious"
淞,name of a river in Jiangsu Province; variant of 凇[song1]
菘,"(cabbage), Brassica chinensis"
譯,"to translate, to interpret"
鍵,"key (on a piano or computer keyboard), button (on a mouse or other device), chemical bond, linchpin"
印,"surname Yin, abbr. for 印度[Yin4 du4], India; to print, to mark, to engrave, a seal, a print, a stamp, a mark, a trace, image"
敦,"variant of 敦[dun1]; kindhearted, place name"
穆,"surname Mu; solemn, reverent, calm, burial position in an ancestral tomb (old), old variant of 默"
崑,"used in place names, notably Kunlun Mountains 崑崙|昆仑[Kun1 lun2], (also used for transliteration)"
忻,happy
瑨,(literary) jade-like stone
湖,lake
愛,"to love; to be fond of; to like, affection, to be inclined (to do sth); to tend to (happen)"
溱,name of a river
黃,"surname Huang or Hwang; yellow, pornographic, to fall through"
贊,"(bound form) to patronize; to support; to aid, (bound form) to praise; to laud"
諄,"repeatedly (in giving advice), sincere, earnest, untiring"
孜,used in 孜孜[zi1 zi1]
嶽,"surname Yue; high mountain, highest peak of a mountain ridge"
娥,"good, beautiful"
農,surname Nong; (bound form) agriculture
倉,"barn, granary, storehouse, cabin, hold (in ship)"
居,"surname Ju; (archaic) sentence-final particle expressing a doubting attitude; to reside, to be (in a certain position), to store up, to be at a standstill, residence, house, restaurant, classifier for bedrooms"
溢,"to overflow, (literary) excessive, old variant of 鎰|镒[yi4]"
阿,"abbr. for country names that begin with 阿[a1]: Algeria 阿爾及利亞|阿尔及利亚[A1 er3 ji2 li4 ya4], Afghanistan 阿富汗[A1 fu4 han4] etc; prefix used before monosyllabic names, kinship terms etc to indicate familiarity, used in transliteration, also pr. [a4]; (literary) to flatter; to curry favor with"
憶,"to recollect, to remember, memory"
妘,"surname Yun, (used in given names, mostly female names)"
徵,"to invite, to recruit, to levy (taxes), to draft (troops), phenomenon, symptom, characteristic sign (used as proof), evidence; 4th note in the ancient Chinese pentatonic scale 五音[wu3 yin1], corresponding to sol"
雋,"surname Juan; meaningful, significant; variant of 俊[jun4]"
肅,"surname Su; respectful, solemn, to eliminate, to clean up"
淇,name of a river
必,"certainly, must, will, necessarily"
統,"to gather, to unite, to unify, whole"
芮,surname Rui; small
曼,"handsome, large, long"
殷,"surname Yin, dynasty name at the end the Shang dynasty, after its move to Yinxu 殷墟[Yin1 xu1] in present-day Henan; dark red; flourishing, abundant, earnest, hospitable; roll of thunder"
向,"surname Xiang; towards, to face, to turn towards, direction, to support, to side with, shortly before, formerly, always, all along, (suffix) suitable for ..., oriented to ...; to tend toward, to guide, variant of 向[xiang4]; variant of 向[xiang4], direction, orientation, to face, to turn toward, to, towards, shortly before, formerly"
標,"mark, sign, label, to mark with a symbol, label, lettering etc, to bear (a brand name, registration number etc), prize, award, bid, target, quota, (old) the topmost branches of a tree, visible symptom, classifier for military units"
蜀,"short name for Sichuan 四川[Si4 chuan1] province, one of the Three Kingdoms 三國|三国[San1 guo2] after the Han dynasty, also called 蜀漢|蜀汉[Shu3 Han4], situated around what is now Sichuan province"
